name,stream_url,homepage,country,language,tags,codec,bitrate
	Blasmusikradio mit Bernd,https://stream.laut.fm/blasmusikradio_mit_bernd,https://laut.fm/blasmusikradio_mit_bernd,Germany,german,"blasmusik,folk,marsch,polka",MP3,128
	psyradio * fm - progressive,http://streamer.psyradio.org:8010/;listen.mp3,http://psyradio.fm/,Germany,,"progressive,psychedelic,psytrance",MP3,128
	WDR Sportschau - 2. Fussball Bundesliga-Konferenz LIVE,http://wdr-sportschau-liga2konferenz.icecastssl.wdr.de/wdr/sportschau/liga2konferenz/mp3/high,http://wdr.de/,Germany,,,MP3,128
 	ROCKANTENNE Alternative (mp3),https://stream.rockantenne.de/alternative/stream/mp3,https://www.rockantenne.de/,Germany,german,,MP3,128
 - 100 % - HANDSUP <3 - Non-stop 140 BPM,https://club-high.rautemusik.fm/?ref=radiobrowser-100-handsup,https://rm.fm/club,Germany,"english,german","140bpm,dj,dj sets,hands up,handsup,handsup! rave oldscool 90s 00s 10s trance techno,hardstyle,hardstyle/handsup/edm,radio,rave,techno",MP3,192
" - DJ & CLUB CHARTS ---> Club Classics, Festival-Hits, Remixes, Single Charts, Mashups, DJ Sets, Club Edits, Dancefloor, Underground, Nightlife, Party Anthems, Ibiza, Miami, Clubbing, Festival, Remix, Mashup, DJ, EDM,  RAVE, Dance, Urban, Latin, Beachclub, Lounge",https://breakz-2012-high.rautemusik.fm/?ref=rb-djclubcharts,https://breakz.fm/trackliste/,Germany,"english,german","#bewirbdich!,#mashup,beach,best music,brandnew,charts,chillout+lounge,club,clubbing,community radio,dance smashes,dj,dj remix,dj sets,edm,edm radioshows,hard techno,hiphop,hits,hot ac,houseparty,ibiza,ibiza classics,ibiza club,lounge,mashup,minimal techno,non-stop music,party,partycharts,promodj,radio,rave,remixed,singlecharts,sunset,tech house,techno,top 100,top 40,top charts,top hits,underground,urban",MP3,192
" - NEUERSCHEINUNGEN - Radio Charts - DJ Charts - Club Charts - Top 100 - Top 40 Club - Pop, Hip-Hop, Dance, EDM, House, Techno, R&B, Trap, Reggaeton, Afrobeat, Indie-Pop, Tropical House, Future Bass, Electro Swing, Synthwave, Deep House, Progressive House, Vocal House, DJ Sets, Remix, Mashup, Dancefloor, Festival-Hits, Club-Hits, Nightlife, Underground.",https://breakz-high.rautemusik.fm/?ref=rb-neuerscheinungen,https://www.breakz.fm/,Germany,"english,german","chillout,club,club dance,dj,dj sets,electro sets,electronic dance music,future bass,house,ibiza,mashup,non-stop music,pop,pop dance,pop music,promodj,radiocharts,remixes,soul,sunset,tech house,techhouse,top 100,top 40,top charts,top club,top hits,top100,top40",MP3,192
 Bremen Zwei NEU,https://icecast.radiobremen.de/rb/bremenzwei/live/mp3/128/stream.mp3,https://www.bremenzwei.de/,Germany,german,"ard,culture,information,public radio,radio bremen",MP3,128
 Techno Lovers FM Vocal Trance,https://stream.technolovers.fm/vocal-trance,https://technolovers.fm/,Germany,german,electro,MP3,192
__12PUNKS.FM__ by rautemusik (rm.fm),https://12punks-high.rautemusik.fm/?ref=radiobrowser,https://www.rm.fm/12punks,Germany,german,"alternativ rock,classic rock,heavy metal,metal,new rock,punk,rock,rock hits,soft rock",MP3,192
__80S__ by rautemusik (rm.fm),https://80s-high.rautemusik.fm/?ref=radiobrowser,https://www.rm.fm/80s,Germany,"english,german","1980s,80,80's,80er,80s,golden oldies,goldies,oldies",MP3,192
__90S__ by rautemusik (rm.fm),https://90s-high.rautemusik.fm/?ref=radiobrowser,https://www.rm.fm/90s,Germany,german,"1990s,90er,90s,dance,eurodance,hiphop,hits,oldies,pop,rap,rm.fm",MP3,192
__BASS__ by rautemusik (rm.fm),https://bass-high.rautemusik.fm/?ref=radiobrowser,https://www.rm.fm/bass,Germany,"english,german","chilled trap,drum & bass,drum 'n' bass,drum and bass,hip-hop,hiphop,liquid trap,rap hiphop rnb,trap",MP3,192
__BEST OF SCHLAGER__ by rautemusik (rm.fm),https://best-of-schlager-high.rautemusik.fm/?ref=radiobrowser,https://www.rm.fm/best-of-schlager,Germany,"english,german","70s disco,best,best music,charts,deutschland,disco,discofox,hits,schlager,schlagerhits",MP3,192
__BIGCITYBEATS.FM__ by rautemusik (rm.fm),https://stream.bigcitybeats.de/bcb-radio/mp3-192/radiobrowser,https://bigcitybeats.de/,Germany,"english,german","charts,dance,deejay,dj,dj sets,edm,electronic,elektronik,festival,hits,house,minimal",MP3,192
__BREAKZ.FM__ by rautemusik (rm.fm),https://breakz-high.rautemusik.fm/?ref=radiobrowser,https://breakz.fm/,Germany,,,MP3,192
__BREAKZ.FM__ by rm.fm (rautemusik),https://breakz-high.rautemusik.fm/?ref=radiobrowserinfo,https://breakz.fm/,Germany,"english,german","dance,deejay,dj,dj mixes,dj sets,edm,electro,electro house,electronic,hardstyle,hiphop,house,mixtapes,moombahton,reggaeton,rnb,urban",MP3,192
__CHARTHITS.FM__ by rautemusik (rm.fm),https://charthits-high.rautemusik.fm/?ref=radiobrowser,https://www.charthits.fm/,Germany,"english,german","charts,dance,edm,electro house,electronic,electronica,electropop,hits,house,top40",MP3,192
__CHRISTMAS CHOR__ by rautemusik (rm.fm),https://christmas-chor-high.rautemusik.fm/?ref=radiobrowser,https://www.rm.fm/christmas-chor,Germany,german,"choral,christmas,christmas music,church,church of christ,klassik weihnachten christmas,weihnachten",MP3,192
__CHRISTMAS SCHLAGER__ by rautemusik (rm.fm),https://christmas-schlager-high.rautemusik.fm/?ref=radiobrowser,https://www.rm.fm/christmas-schlager,Germany,"english,german","christmas,christmas music,discofox,klassik weihnachten christmas,schlager,schlagerhits,weihnachten,weihnachtsrock",MP3,192
__CLUB__ by rautemusik (rm.fm),https://club-high.rautemusik.fm/?ref=radiobrowser,https://www.rm.fm/club,Germany,german,"dance,deejay,dj,edm,electronic,elektro,handsup,hardstyle,hits,techno,trance",MP3,192
__COUNTRYHITS.FM__ by rautemusik (rm.fm),https://country-high.rautemusik.fm/?ref=radiobrowser,https://countryhits.fm/,Germany,"english,german","alternative country,alternative rock,americana,classic country,classic rock,country,hits,nashville,new country,rock,texas country",MP3,192
__DEUTSCHE HITS__ by rautemusik (rm.fm),https://deutsche-hits-high.rautemusik.fm/?ref=radiobrowser,https://www.rm.fm/deutsche-hits,Germany,"english,german","charts,dance,german,hits,pop,pop music,pop rock",MP3,192
__DEUTSCHRAP CHARTS__ by rautemusik (rm.fm),https://deutschrap-charts-high.rautemusik.fm/?ref=radiobrowser,https://www.rm.fm/deutschrap-charts,Germany,"english,german","charts,deutsch,deutschrap,german,hip-hop,hiphop,hits,rap,rap hiphop rnb,rnb,top charts,ä",MP3,192
__DEUTSCHRAP CLASSIC__ by rautemusik (rm.fm),https://deutschrap-classic-high.rautemusik.fm/?ref=radiobrowser,https://www.rm.fm/deutschrap-classic,Germany,"english,german","chilled trap,deutsch,german,hip-hop,hiphop,rap,rap hiphop rnb,rnb",MP3,192
